run,turn,card_id,choice,resources,moral,stability,progress
2,30,25,0,-75,165,-5,220
2,31,16,0,-90,175,-5,220
2,32,44,1,-85,175,-5,220
2,33,1,0,-75,175,-15,220
2,34,37,0,-90,195,-15,220
2,35,3,1,-100,195,-15,230
2,36,6,1,-110,195,-15,240
2,37,17,1,-140,195,0,240
2,38,36,1,-140,205,0,240
2,39,24,1,-135,205,0,240
2,40,39,1,-130,205,0,240
2,41,38,0,-140,215,0,240
2,42,9,1,-135,215,0,240
2,43,16,1,-135,215,-10,240
2,44,40,0,-135,225,-20,240
2,45,30,1,-135,225,-10,240
2,46,16,1,-135,225,-20,240
2,47,7,0,-150,235,-20,240
2,48,3,0,-135,235,-25,240
2,49,2,1,-130,235,-35,240
2,50,48,0,-130,235,-35,270
2,51,43,1,-130,235,-30,265
2,52,29,0,-150,235,-25,265
2,53,19,1,-150,235,-25,265
2,54,26,0,-160,235,-25,275
2,55,4,0,-175,250,-25,275
2,56,10,0,-185,260,-25,275
2,57,43,0,-165,260,-35,275
2,58,41,0,-175,275,-35,275
2,59,7,1,-170,275,-35,275
2,60,43,0,-150,275,-45,275
2,61,16,0,-165,285,-45,275
2,62,5,0,-175,285,-40,275
2,63,44,0,-175,285,-30,285
2,64,44,1,-170,285,-30,285
2,65,30,0,-170,285,-40,310
2,66,10,0,-180,295,-40,310
2,67,1,0,-170,295,-50,310
2,68,4,1,-160,295,-50,310
2,69,44,0,-160,295,-40,320
2,70,15,1,-160,300,-40,320
2,71,10,0,-170,310,-40,320
2,72,14,1,-170,320,-40,320
2,73,6,1,-180,320,-40,330
2,74,18,1,-170,320,-40,330
2,75,42,1,-170,325,-40,330
2,76,40,1,-170,315,-30,330
2,77,13,1,-165,320,-30,330
2,78,48,1,-165,320,-30,330
2,79,19,0,-165,320,-30,330
2,80,39,0,-175,335,-30,330
2,81,25,1,-175,345,-30,330
2,82,37,1,-165,345,-30,330
2,83,15,1,-165,350,-30,330
2,84,42,0,-180,350,-30,345
2,85,1,0,-170,350,-40,345
2,86,43,0,-150,350,-50,345
2,87,14,1,-150,360,-50,345
2,88,24,0,-155,360,-50,345
2,89,4,0,-170,375,-50,345
2,90,26,0,-180,375,-50,355
2,91,11,1,-175,375,-50,355
2,92,21,1,-170,375,-60,355
2,93,42,1,-170,380,-60,355
2,94,10,0,-180,390,-60,355
2,95,46,0,-190,390,-60,370
2,96,7,1,-185,390,-60,370
2,97,4,1,-175,390,-60,370
2,98,3,1,-185,390,-60,380
2,99,45,1,-185,400,-60,380
3,0,6,1,40,50,50,60
3,1,4,0,25,65,50,60
3,2,25,1,25,75,50,60
3,3,21,1,30,75,40,60
3,4,7,1,35,75,40,60
3,5,5,1,40,75,30,60
3,6,4,1,50,75,30,60
3,7,9,0,40,75,30,65
3,8,38,0,30,85,30,65
3,9,38,1,35,85,30,65
3,10,18,0,5,85,30,95
3,11,14,1,5,95,30,95
3,12,36,0,5,90,30,110
3,13,6,0,15,90,25,110
3,14,15,0,30,85,25,110
3,15,9,1,35,85,25,110
3,16,6,0,45,85,20,110
3,17,26,1,55,85,15,110
3,18,24,0,50,85,15,110
3,19,20,0,40,85,30,110
3,20,5,1,45,85,20,110
3,21,20,1,45,95,5,110
3,22,29,0,25,95,10,110
3,23,45,1,25,105,10,110
3,24,29,1,25,125,-10,110
3,25,38,0,15,135,-10,110
3,26,23,0,5,135,-10,120
3,27,42,1,5,140,-10,120
3,28,4,0,-10,155,-10,120
3,29,38,0,-20,165,-10,120
3,30,28,0,-40,165,-10,135
3,31,18,0,-70,165,-10,165
3,32,26,0,-80,165,-10,175
3,33,15,1,-80,170,-10,175
3,34,4,0,-95,185,-10,175
3,35,13,0,-95,185,-10,195
3,36,38,1,-90,185,-10,195
3,37,26,1,-80,185,-15,195
3,38,16,0,-95,195,-15,195
3,39,21,1,-90,195,-25,195
3,40,1,1,-100,195,-25,200
3,41,22,1,-100,200,-35,200
3,42,2,1,-95,200,-45,200
3,43,38,1,-90,200,-45,200
3,44,27,0,-80,190,-45,200
3,45,28,0,-100,190,-45,215
3,46,16,1,-100,190,-55,215
3,47,2,1,-95,190,-65,215
3,48,39,1,-90,190,-65,215
3,49,1,1,-100,190,-65,220
3,50,8,0,-100,195,-75,220
3,51,45,1,-100,205,-75,220
3,52,7,0,-115,215,-75,220
3,53,40,1,-115,205,-65,220
3,54,4,0,-130,220,-65,220
3,55,39,0,-140,235,-65,220
3,56,17,0,-160,255,-65,220
3,57,10,1,-145,255,-75,220
3,58,37,1,-135,255,-75,220
3,59,20,0,-145,255,-60,220
3,60,46,0,-155,255,-60,235
3,61,21,0,-165,255,-40,235
3,62,16,0,-180,265,-40,235
3,63,3,0,-165,265,-45,235
3,64,38,0,-175,275,-45,235
3,65,19,1,-175,275,-45,235
3,66,21,1,-170,275,-55,235
3,67,43,1,-170,275,-50,230
3,68,37,1,-160,275,-50,230
3,69,41,1,-155,265,-50,230
3,70,43,1,-155,265,-45,225
3,71,7,1,-150,265,-45,225
3,72,2,1,-145,265,-55,225
3,73,17,0,-165,285,-55,225
3,74,17,0,-185,305,-55,225
3,75,25,0,-185,300,-55,225
3,76,47,1,-185,300,-55,225
3,77,18,0,-215,300,-55,255
3,78,4,0,-230,315,-55,255
3,79,4,0,-245,330,-55,255
3,80,41,0,-255,345,-55,255
3,81,38,0,-265,355,-55,255
