run,turn,card_id,choice,wealth,morale,stability,progress
4,60,44,1,-75,205,-5,285
4,61,36,1,-75,215,-5,285
4,62,43,1,-75,215,0,280
4,63,1,0,-65,215,-10,280
4,64,5,0,-75,215,-5,280
4,65,19,1,-75,215,-5,280
4,66,18,1,-65,215,-5,280
4,67,6,0,-55,215,-10,280
4,68,27,1,-55,230,-15,280
4,69,5,1,-50,230,-25,280
4,70,47,0,-50,230,-25,295
4,71,13,0,-50,230,-25,315
4,72,12,0,-55,240,-25,315
4,73,4,0,-70,255,-25,315
4,74,27,1,-70,270,-30,315
4,75,24,1,-65,270,-30,315
4,76,3,1,-75,270,-30,325
4,77,23,0,-85,270,-30,335
4,78,45,1,-85,280,-30,335
4,79,32,0,-85,300,-45,335
4,80,4,0,-100,315,-45,335
4,81,26,1,-90,315,-50,335
4,82,22,1,-90,320,-60,335
4,83,8,0,-90,325,-70,335
4,84,41,0,-100,340,-70,335
4,85,38,0,-110,350,-70,335
4,86,25,1,-110,360,-70,335
4,87,17,0,-130,380,-70,335
4,88,12,1,-125,380,-70,335
4,89,14,0,-125,380,-70,345
4,90,11,0,-130,380,-70,345
4,91,29,0,-150,380,-65,345
4,92,10,0,-160,390,-65,345
4,93,21,0,-170,390,-45,345
4,94,44,1,-165,390,-45,345
4,95,11,0,-170,390,-45,345
4,96,7,1,-165,390,-45,345
4,97,19,1,-165,390,-45,345
4,98,8,0,-165,395,-55,345
4,99,26,0,-175,395,-55,355
5,0,39,1,55,50,50,50
5,1,4,1,65,50,50,50
5,2,43,0,85,50,40,50
5,3,19,1,85,50,40,50
5,4,9,0,75,50,40,55
5,5,41,1,80,40,40,55
5,6,31,1,80,40,50,55
5,7,7,0,65,50,50,55
5,8,23,1,65,55,45,55
5,9,6,1,55,55,45,65
5,10,28,1,65,55,45,65
5,11,19,0,65,55,45,65
5,12,22,1,65,60,35,65
5,13,2,0,55,60,55,65
5,14,38,0,45,70,55,65
5,15,14,1,45,80,55,65
5,16,8,0,45,85,45,65
5,17,42,0,30,85,45,80
5,18,17,0,10,105,45,80
5,19,13,0,10,105,45,100
5,20,19,1,10,105,45,100
5,21,3,1,0,105,45,110
5,22,10,1,15,105,35,110
5,23,1,1,5,105,35,115
5,24,29,0,-15,105,40,115
5,25,15,0,0,100,40,115
5,26,37,0,-15,120,40,115
5,27,9,1,-10,120,40,115
5,28,47,1,-10,120,40,115
5,29,23,1,-10,125,35,115
5,30,3,1,-20,125,35,125
5,31,38,1,-15,125,35,125
5,32,6,1,-25,125,35,135
5,33,26,1,-15,125,30,135
5,34,10,0,-25,135,30,135
5,35,21,1,-20,135,20,135
5,36,5,0,-30,135,25,135
5,37,42,0,-45,135,25,150
5,38,3,1,-55,135,25,160
5,39,32,0,-55,155,10,160
5,40,41,0,-65,170,10,160
5,41,25,1,-65,180,10,160
5,42,48,1,-65,180,10,160
5,43,36,0,-65,175,10,175
5,44,12,1,-60,175,10,175
5,45,24,1,-55,175,10,175
5,46,40,1,-55,165,20,175
5,47,23,0,-65,165,20,185
5,48,16,1,-65,165,10,185
5,49,37,1,-55,165,10,185
5,50,25,1,-55,175,10,185
5,51,18,0,-85,175,10,215
5,52,10,0,-95,185,10,215
